@RELATION all

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE class {"win","lose"}

@DATA
"EmberSpirit","NightStalker","Slardar","Lina","Slark",-16,2596,"lose"
"Zeus","ShadowDemon","Earthshaker","Spectre","OgreMagi",16,2596,"win"
"Axe","Riki","Medusa","ShadowFiend","WitchDoctor",2,2343,"win"
"Pudge","Ursa","Tiny","PhantomAssassin","BountyHunter",-2,2343,"lose"
"WitchDoctor","Huskar","Anti-Mage","Riki","Medusa",-22,2469,"lose"
"LegionCommander","Windranger","Juggernaut","Abaddon","Lion",22,2469,"win"
"PhantomAssassin","Nature'sProphet","Pudge","Undying","Abaddon",1,2340,"win"
"Invoker","NightStalker","TrollWarlord","NagaSiren","Ursa",-1,2340,"lose"
"Terrorblade","Windranger","OutworldDevourer","VengefulSpirit","Phoenix",4,2231,"win"
"OgreMagi","Sven","Morphling","Timbersaw","Lifestealer",-4,2231,"lose"
"Brewmaster","Bloodseeker","PhantomLancer","Invoker","WitchDoctor",-9,4974,"win"
"Tinker","PhantomAssassin","DrowRanger","Warlock","BountyHunter",28,1563,"win"
"Slardar","Riki","Necrophos","Bloodseeker","ChaosKnight",-28,1563,"lose"
"ShadowDemon","Mirana","Weaver","Pudge","Slark",-17,2480,"lose"
"Bloodseeker","OgreMagi","Disruptor","Sven","Timbersaw",17,2480,"win"
"Sniper","Pudge","Anti-Mage","Slark","Jakiro",24,2331,"win"
"Clockwerk","Enchantress","PhantomAssassin","Bloodseeker","Batrider",-24,2331,"lose"
"Riki","Juggernaut","Bristleback","Timbersaw","Invoker",16,3593,"win"
"Anti-Mage","Techies","Meepo","CrystalMaiden","LegionCommander",-16,3593,"lose"
"Slark","LegionCommander","FacelessVoid","Mirana","Pugna",-20,4205,"lose"
"Phoenix","Bloodseeker","PhantomAssassin","Timbersaw","TemplarAssassin",20,4205,"win"
"Bloodseeker","Invoker","OgreMagi","Axe","Medusa",-33,2322,"lose"
"Earthshaker","Bristleback","LegionCommander","Pudge","Sniper",33,2322,"win"
"Clinkz","Beastmaster","TemplarAssassin","NightStalker","Clockwerk",10,1966,"win"
"Slardar","Timbersaw","Juggernaut","CrystalMaiden","Invoker",-10,1966,"lose"
"Juggernaut","Sniper","Mirana","Phoenix","FacelessVoid",20,1980,"win"
"Anti-Mage","Windranger","Clockwerk","OgreMagi","Weaver",-20,1980,"lose"
"Viper","Kunkka","Axe","Bristleback","Slark",2,3727,"win"
"Bloodseeker","SandKing","Timbersaw","Riki","Anti-Mage",-2,3727,"lose"
"Luna","OgreMagi","FacelessVoid","Mirana","CrystalMaiden",-11,1983,"lose"
"TreantProtector","Phoenix","Alchemist","ShadowShaman","Anti-Mage",11,1983,"win"
"LegionCommander","Slardar","CrystalMaiden","Weaver","SandKing",25,2600,"win"
"ShadowShaman","DrowRanger","Nature'sProphet","Pudge","Tinker",-25,2600,"lose"
"Invoker","Enigma","Mirana","Bloodseeker","FacelessVoid",3,3611,"win"
"Anti-Mage","Jakiro","WraithKing","ShadowDemon","Alchemist",-3,3611,"lose"
"ShadowFiend","Nature'sProphet","PhantomAssassin","Timbersaw","Lifestealer",-28,2719,"lose"
"CrystalMaiden","Sven","VengefulSpirit","Pudge","Silencer",28,2719,"win"
"Pudge","Riki","Juggernaut","Magnus","Nature'sProphet",3,2513,"win"
"PhantomAssassin","Axe","SpiritBreaker","Lifestealer","DarkSeer",-3,2513,"lose"
"StormSpirit","Clinkz","Earthshaker","Spectre","Meepo",-5,2419,"lose"
"Morphling","Sniper","Timbersaw","OgreMagi","WitchDoctor",42,1818,"win"
"Lina","Alchemist","Lion","Terrorblade","Leshrac",-42,1818,"lose"
"Riki","ShadowFiend","Mirana","EmberSpirit","Dazzle",-3,2371,"win"
"CentaurWarrunner","Meepo","OgreMagi","Huskar","Earthshaker",3,2371,"lose"
"Timbersaw","LegionCommander","Huskar","Slark","Tiny",13,2466,"win"
"DrowRanger","Riki","Sniper","SpiritBreaker","PhantomAssassin",-13,2466,"lose"
"Medusa","Luna","Windranger","Mirana","Earthshaker",-7,2737,"win"
"Kunkka","DrowRanger","Rubick","Morphling","AncientApparition",7,2737,"lose"
"PhantomAssassin","Zeus","Omniknight","Mirana","SkywrathMage",-14,1361,"lose"
"WraithKing","Omniknight","NyxAssassin","PhantomAssassin","Slark",19,1952,"win"
"Sniper","DrowRanger","Riki","Pudge","Anti-Mage",-19,1952,"lose"
"Timbersaw","Mirana","WraithKing","Rubick","Invoker",6,2640,"win"
"Phoenix","Slark","SandKing","Pudge","CrystalMaiden",-6,2640,"lose"
"Pudge","Slardar","Magnus","WitchDoctor","LegionCommander",-16,1984,"lose"
"Omniknight","Mirana","Tidehunter","Riki","Kunkka",20,2437,"win"
"Pudge","Slardar","Rubick","WraithKing","DrowRanger",-20,2437,"lose"
"BountyHunter","Pudge","PhantomAssassin","Huskar","Sniper",32,2193,"win"
"VengefulSpirit","KeeperoftheLight","ChaosKnight","Windranger","DrowRanger",-32,2193,"lose"
"LegionCommander","TrollWarlord","Anti-Mage","PhantomAssassin","Tinker",9,4025,"lose"
"Ursa","Sniper","WraithKing","Bloodseeker","Zeus",-9,4025,"win"
"Mirana","PhantomLancer","Earthshaker","Ursa","LegionCommander",-8,2633,"win"
"Riki","Magnus","Kunkka","StormSpirit","Juggernaut",8,2633,"lose"
"Pudge","Omniknight","Puck","Alchemist","Tusk",6,2630,"win"
"Riki","StormSpirit","Windranger","Jakiro","Necrophos",-6,2630,"lose"
"Earthshaker","Ursa","ShadowFiend","Sniper","DarkSeer",8,3193,"win"
"PhantomAssassin","Tinker","ElderTitan","CrystalMaiden","ChaosKnight",-8,3193,"lose"
"Huskar","Juggernaut","Sniper","PhantomAssassin","Anti-Mage",43,1709,"win"
"Phoenix","Slark","Necrophos","EmberSpirit","Lion",11,2788,"win"
"Kunkka","DragonKnight","Doom","SandKing","Pudge",-11,2788,"lose"
"Tusk","NyxAssassin","Pudge","Lina","Lifestealer",-29,2296,"lose"
"NightStalker","Mirana","CentaurWarrunner","Juggernaut","Invoker",29,2296,"win"
"WraithKing","Weaver","Dazzle","QueenofPain","Tinker",39,2221,"win"
"PhantomAssassin","Earthshaker","ShadowFiend","Kunkka","Invoker",-40,2679,"lose"
"ShadowShaman","NyxAssassin","Slardar","Phoenix","Viper",40,2679,"win"
"Kunkka","NyxAssassin","Slark","EmberSpirit","Medusa",13,4164,"win"
"Mirana","Invoker","AncientApparition","Tinker","SpiritBreaker",-13,4164,"lose"
"Axe","Mirana","Rubick","Anti-Mage","Lifestealer",0,3407,"lose"
"Morphling","Bristleback","Techies","ShadowDemon","Viper",-26,2016,"lose"
"ShadowFiend","Clockwerk","LegionCommander","Necrophos","Timbersaw",26,2016,"win"
"Magnus","Mirana","Clinkz","Dazzle","Huskar",16,2140,"win"
"Alchemist","DeathProphet","SpiritBreaker","Ursa","Phoenix",-16,2140,"lose"
"Ursa","Timbersaw","StormSpirit","PhantomAssassin","CrystalMaiden",13,2435,"win"
"Bloodseeker","Lycan","Weaver","Windranger","LegionCommander",-13,2435,"lose"
"PhantomAssassin","DrowRanger","LegionCommander","KeeperoftheLight","Slardar",11,4036,"win"
"CrystalMaiden","Sven","StormSpirit","Necrophos","NyxAssassin",-11,4036,"lose"
"Slardar","Lifestealer","Riki","Juggernaut","LegionCommander",11,3313,"win"
"Huskar","ShadowShaman","BountyHunter","Sven","Zeus",-11,3313,"lose"
"NyxAssassin","Ursa","Bloodseeker","Clinkz","Pudge",50,2419,"win"
"Doom","Undying","StormSpirit","Windranger","CrystalMaiden",-50,2419,"lose"
"LegionCommander","Pudge","Axe","Viper","Windranger",38,2042,"win"
"ShadowShaman","TrollWarlord","Lion","Leshrac","PhantomAssassin",-38,2042,"lose"
"Medusa","EmberSpirit","BountyHunter","Batrider","Mirana",-6,3540,"lose"
