@RELATION auscomp

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE class {"win","lose"}

@DATA
"PhantomAssassin","Nature'sProphet","Pudge","Undying","Abaddon","win"
"Invoker","NightStalker","TrollWarlord","NagaSiren","Ursa","lose"
"Silencer","AncientApparition","Slark","Undying","Sniper","win"
"DrowRanger","LegionCommander","Riki","PhantomAssassin","SpiritBreaker","lose"
"Slark","EarthSpirit","Alchemist","Anti-Mage","Pudge","win"
"Tidehunter","Clinkz","Invoker","AncientApparition","LegionCommander","lose"
"EmberSpirit","Sven","Pudge","Weaver","WitchDoctor","lose"
"OgreMagi","PhantomAssassin","Silencer","VengefulSpirit","EarthSpirit","win"
"PhantomAssassin","Axe","Lifestealer","LegionCommander","WitchDoctor","lose"
"Slark","WraithKing","Invoker","Riki","Enigma","win"
"Huskar","Axe","CrystalMaiden","Lina","OutworldDevourer","lose"
"Bloodseeker","Mirana","Sniper","Earthshaker","Juggernaut","win"
"Jakiro","LegionCommander","Axe","Lifestealer","Windranger","win"
"Warlock","Lina","Abaddon","Sniper","Gyrocopter","lose"
"Terrorblade","SandKing","Lion","undefined","Invoker","win"
"BountyHunter","undefined","EmberSpirit","WraithKing","Pugna","lose"
"OgreMagi","SpiritBreaker","Riki","Invoker","FacelessVoid","lose"
"Necrophos","Pudge","BountyHunter","Juggernaut","LegionCommander","win"
"Bloodseeker","Riki","Juggernaut","Mirana","PhantomAssassin","win"
"Sven","Slark","ChaosKnight","OgreMagi","SpiritBreaker","lose"
"Jakiro","TrollWarlord","Juggernaut","PhantomAssassin","Enchantress","win"
"NightStalker","Axe","CrystalMaiden","PhantomLancer","Timbersaw","lose"
"ShadowDemon","Axe","Invoker","Sniper","DrowRanger","win"
"EmberSpirit","Rubick","LegionCommander","Alchemist","Silencer","lose"
"Axe","Weaver","Pudge","FacelessVoid","Dazzle","win"
"Slark","Clinkz","LegionCommander","StormSpirit","DrowRanger","lose"
"StormSpirit","FacelessVoid","Axe","Mirana","Rubick","lose"
"CrystalMaiden","Invoker","Jakiro","Pudge","LegionCommander","win"
"Slark","Doom","CrystalMaiden","Tinker","Lion","lose"
"Omniknight","PhantomLancer","Tusk","QueenofPain","NyxAssassin","win"
"Slark","Omniknight","Windranger","Bloodseeker","Riki","win"
"Abaddon","Techies","Tinker","PhantomAssassin","FacelessVoid","lose"
"Kunkka","ShadowDemon","AncientApparition","Anti-Mage","Necrophos","win"
"WraithKing","Viper","Io","Slardar","Disruptor","lose"
"undefined","undefined","undefined","undefined","undefined","win"
"undefined","undefined","undefined","undefined","undefined","lose"
"Mirana","AncientApparition","Windranger","Timbersaw","DrowRanger","lose"
"FacelessVoid","Pudge","Alchemist","Omniknight","Invoker","win"
"Tinker","WraithKing","Bloodseeker","CrystalMaiden","LoneDruid","win"
"FacelessVoid","Phoenix","Tiny","Sniper","EmberSpirit","lose"
"Juggernaut","Tiny","Pudge","Windranger","DrowRanger","lose"
"PhantomAssassin","EmberSpirit","LegionCommander","Bloodseeker","Razor","win"
"Invoker","Bloodseeker","Riki","Leshrac","LegionCommander","win"
"Nature'sProphet","Clinkz","AncientApparition","Juggernaut","Dazzle","lose"
"Tiny","OutworldDevourer","Slardar","Lion","Omniknight","lose"
"Riki","Visage","Invoker","Luna","NyxAssassin","win"
"Axe","Windranger","Lina","Omniknight","LegionCommander","win"
"Bloodseeker","Brewmaster","Sniper","Clinkz","Rubick","lose"
"Timbersaw","KeeperoftheLight","Zeus","NyxAssassin","Anti-Mage","win"
"CrystalMaiden","StormSpirit","CentaurWarrunner","PhantomAssassin","ElderTitan","lose"
"Sniper","Omniknight","Tiny","Bloodseeker","ShadowFiend","win"
"Sven","KeeperoftheLight","DrowRanger","Pudge","PhantomAssassin","lose"
"Pudge","LegionCommander","Anti-Mage","Lifestealer","Lich","lose"
"DarkSeer","Zeus","ChaosKnight","Omniknight","Axe","win"
"Lion","Huskar","SandKing","FacelessVoid","Sniper","lose"
"PhantomAssassin","Silencer","Oracle","Lifestealer","Pudge","win"
"Oracle","Clinkz","Medusa","LegionCommander","Pudge","lose"
"Io","Slark","Anti-Mage","SandKing","Riki","win"
"Timbersaw","Kunkka","Anti-Mage","LegionCommander","BountyHunter","lose"
"ElderTitan","Puck","Slark","Riki","Invoker","win"
"ChaosKnight","BountyHunter","Lina","Huskar","Meepo","win"
"DrowRanger","Pudge","Riki","Axe","Bloodseeker","lose"
"Invoker","Tidehunter","Gyrocopter","DarkSeer","LoneDruid","win"
"Clinkz","DrowRanger","TemplarAssassin","Lycan","Axe","lose"
"Pugna","Mirana","SandKing","Slark","Bloodseeker","lose"
"Terrorblade","PhantomAssassin","Sven","Pudge","Huskar","win"
"Slark","Invoker","CentaurWarrunner","Disruptor","BountyHunter","win"
"ShadowFiend","Riki","Timbersaw","DrowRanger","Mirana","lose"
"Pudge","WinterWyvern","Alchemist","Slark","Oracle","lose"
"Windranger","Timbersaw","Juggernaut","PhantomAssassin","Omniknight","win"
"LoneDruid","Ursa","Anti-Mage","Bane","Axe","lose"
"Riki","Medusa","Lion","SpiritBreaker","PhantomAssassin","win"
"ShadowShaman","LoneDruid","Bloodseeker","Riki","Lycan","win"
"Pudge","OgreMagi","Pugna","Viper","Juggernaut","lose"
"Warlock","SpiritBreaker","Mirana","Tinker","LegionCommander","lose"
"Razor","Windranger","BountyHunter","Dazzle","Necrophos","win"
"OgreMagi","Beastmaster","ElderTitan","Puck","Spectre","win"
"ArcWarden","Timbersaw","NyxAssassin","Axe","Pudge","lose"
"LegionCommander","PhantomAssassin","Pugna","Riki","BountyHunter","lose"
"DrowRanger","Juggernaut","TemplarAssassin","Pudge","Techies","win"
"PhantomAssassin","Dazzle","LegionCommander","Axe","Ursa","win"
"Enigma","Huskar","NyxAssassin","Slark","Mirana","lose"
"ShadowFiend","Nature'sProphet","Mirana","Clockwerk","KeeperoftheLight","win"
"Spectre","Sniper","LegionCommander","Axe","Zeus","lose"
"Huskar","PhantomAssassin","BountyHunter","Lifestealer","VengefulSpirit","lose"
"Clinkz","Riki","PhantomLancer","NightStalker","Axe","win"
"Oracle","SkywrathMage","Slark","DragonKnight","Earthshaker","lose"
"OgreMagi","Morphling","Axe","FacelessVoid","Alchemist","win"
"Clockwerk","Tinker","Undying","SkywrathMage","Juggernaut","win"
"Mirana","WitchDoctor","Invoker","DrowRanger","WraithKing","lose"
"QueenofPain","Rubick","Axe","Venomancer","WraithKing","win"
"StormSpirit","Lifestealer","Lich","Slark","Luna","lose"
"LegionCommander","Juggernaut","ChaosKnight","Mirana","Pudge","win"
"Undying","Slark","Clockwerk","Earthshaker","CrystalMaiden","lose"
"Axe","ShadowDemon","Riki","Weaver","KeeperoftheLight","lose"
"Windranger","DrowRanger","Medusa","Pugna","Pudge","win"
"Omniknight","Bristleback","Lifestealer","Spectre","Lina","win"
"StormSpirit","ShadowShaman","Slark","Bloodseeker","Kunkka","lose"
"CrystalMaiden","Lion","Ursa","Broodmother","Zeus","win"
"Juggernaut","LegionCommander","Warlock","Bloodseeker","EmberSpirit","lose"
"Rubick","Sven","ElderTitan","Bristleback","Magnus","win"
"Slark","Earthshaker","Timbersaw","Puck","Riki","lose"
"Sven","Riki","DrowRanger","Undying","Pugna","win"
"Timbersaw","Sniper","Terrorblade","Pudge","Leshrac","lose"
