@RELATION auscomp

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE class {"win","lose"}

@DATA
"WitchDoctor","Huskar","Anti-Mage","Riki","Medusa","lose"
"LegionCommander","Windranger","Juggernaut","Abaddon","Lion","win"
"Pudge","Riki","Juggernaut","Magnus","Nature'sProphet","win"
"PhantomAssassin","Axe","SpiritBreaker","Lifestealer","DarkSeer","lose"
"Timbersaw","Mirana","WraithKing","Rubick","Invoker","win"
"Phoenix","Slark","SandKing","Pudge","CrystalMaiden","lose"
"Clockwerk","Slark","Lina","LegionCommander","DeathProphet","lose"
"CrystalMaiden","Zeus","WraithKing","PhantomAssassin","StormSpirit","win"
"ShadowShaman","Lycan","PhantomLancer","Omniknight","Zeus","lose"
"OgreMagi","Dazzle","Huskar","PhantomAssassin","Morphling","win"
"Venomancer","PhantomAssassin","DrowRanger","FacelessVoid","Luna","win"
"Huskar","DragonKnight","Pudge","Necrophos","Terrorblade","lose"
"Doom","Juggernaut","Windranger","LegionCommander","Tidehunter","lose"
"Invoker","Riki","PhantomAssassin","FacelessVoid","Rubick","win"
"Slark","Doom","Puck","Riki","Windranger","lose"
"StormSpirit","Bloodseeker","Beastmaster","NagaSiren","Disruptor","win"
"Invoker","Bristleback","AncientApparition","LegionCommander","Sven","win"
"FacelessVoid","Nature'sProphet","ShadowFiend","NyxAssassin","SkywrathMage","lose"
"Weaver","Techies","PhantomAssassin","Medusa","Earthshaker","win"
"Invoker","Razor","Windranger","PhantomLancer","Enigma","lose"
"Clockwerk","LegionCommander","Timbersaw","Sven","CrystalMaiden","lose"
"Windranger","Juggernaut","KeeperoftheLight","PhantomAssassin","Mirana","win"
"Juggernaut","Alchemist","Axe","WitchDoctor","CrystalMaiden","lose"
"Jakiro","NightStalker","Pudge","Zeus","Kunkka","win"
"Lifestealer","NyxAssassin","VengefulSpirit","Silencer","Lina","win"
"Bristleback","Slark","Io","Tinker","WinterWyvern","lose"
"Kunkka","DrowRanger","Juggernaut","Huskar","Mirana","win"
"Gyrocopter","Slark","Bloodseeker","Spectre","SkywrathMage","lose"
"Pudge","Mirana","ShadowFiend","Lich","Doom","win"
"Meepo","Nature'sProphet","EmberSpirit","Windranger","Oracle","lose"
"Pudge","Magnus","Techies","EmberSpirit","ElderTitan","lose"
"Kunkka","WitchDoctor","TreantProtector","Lycan","Invoker","win"
"Sven","Tinker","Enchantress","LegionCommander","Mirana","lose"
"Huskar","DrowRanger","WraithKing","Silencer","SpiritBreaker","win"
"Pudge","Juggernaut","FacelessVoid","Venomancer","Necrophos","win"
"Omniknight","WraithKing","ShadowFiend","Kunkka","Timbersaw","lose"
"WraithKing","Invoker","FacelessVoid","EmberSpirit","Tidehunter","lose"
"CrystalMaiden","Zeus","Enigma","PhantomLancer","Medusa","win"
"Omniknight","SkywrathMage","Axe","Lifestealer","Bloodseeker","win"
"PhantomAssassin","Tinker","CrystalMaiden","Timbersaw","LegionCommander","lose"
"FacelessVoid","Meepo","Earthshaker","Morphling","Huskar","lose"
"DrowRanger","Weaver","Lion","Bloodseeker","Lifestealer","win"
"CentaurWarrunner","Zeus","Rubick","BountyHunter","Juggernaut","win"
"Slark","Lina","Kunkka","Lycan","Silencer","lose"
"CrystalMaiden","Weaver","Alchemist","Riki","Zeus","win"
"CentaurWarrunner","PhantomAssassin","Nature'sProphet","Lich","OutworldDevourer","lose"
"OgreMagi","PhantomLancer","Pudge","Tinker","NyxAssassin","lose"
"Slardar","Riki","AncientApparition","DrowRanger","Nature'sProphet","win"
"Pudge","Venomancer","Invoker","Anti-Mage","Alchemist","win"
"TemplarAssassin","Medusa","Windranger","Nature'sProphet","Tinker","lose"
"Silencer","EmberSpirit","Dazzle","CentaurWarrunner","Tinker","win"
"Kunkka","Beastmaster","Enigma","Windranger","PhantomAssassin","lose"
"DrowRanger","CrystalMaiden","Windranger","ShadowDemon","Mirana","win"
"Clinkz","PhantomAssassin","WinterWyvern","Riki","AncientApparition","lose"
"PhantomAssassin","Magnus","Nature'sProphet","Axe","Lina","win"
"LegionCommander","FacelessVoid","Sven","Mirana","Tiny","lose"
"Lifestealer","Sniper","Disruptor","CrystalMaiden","Mirana","lose"
"Viper","PhantomAssassin","WraithKing","LegionCommander","Earthshaker","win"
"ShadowDemon","DrowRanger","Medusa","Techies","SandKing","win"
"Pudge","WitchDoctor","Sniper","Anti-Mage","Windranger","lose"
"DeathProphet","Invoker","Anti-Mage","NightStalker","PhantomAssassin","lose"
"Juggernaut","Necrophos","Zeus","DrowRanger","Windranger","win"
"Pudge","Undying","Pugna","PhantomLancer","StormSpirit","win"
"Slardar","Windranger","Enigma","LegionCommander","SpiritBreaker","lose"
"NagaSiren","Lion","Rubick","Clockwerk","Sniper","win"
"FacelessVoid","Pudge","PhantomAssassin","Earthshaker","AncientApparition","lose"
"Anti-Mage","ElderTitan","Silencer","Rubick","Axe","win"
"Tinker","Juggernaut","Bloodseeker","Doom","Riki","lose"
"Slark","StormSpirit","Necrophos","Riki","LegionCommander","win"
"Anti-Mage","Invoker","Doom","Ursa","WitchDoctor","lose"
"EmberSpirit","Bane","DeathProphet","Mirana","NyxAssassin","lose"
"Viper","Omniknight","OgreMagi","Tinker","Slark","win"
"Necrophos","Magnus","SpiritBreaker","Slark","Slardar","win"
"Bane","StormSpirit","Mirana","Anti-Mage","Puck","lose"
"PhantomAssassin","Broodmother","Viper","Pudge","Sniper","lose"
"Techies","OgreMagi","Clinkz","Huskar","FacelessVoid","win"
"Anti-Mage","Lion","Weaver","Rubick","Slark","win"
"Alchemist","Timbersaw","Juggernaut","WraithKing","undefined","lose"
"PhantomAssassin","Venomancer","Tidehunter","Lich","Slardar","lose"
"Lion","Pudge","FacelessVoid","Sniper","LegionCommander","win"
"Ursa","Pudge","LegionCommander","Venomancer","Necrophos","win"
"Juggernaut","Timbersaw","Huskar","Morphling","ElderTitan","lose"
"Clinkz","VengefulSpirit","Slark","Invoker","Alchemist","win"
"Viper","Anti-Mage","LegionCommander","LoneDruid","AncientApparition","lose"
"Anti-Mage","Bloodseeker","DrowRanger","BountyHunter","ShadowShaman","lose"
"Alchemist","Lycan","WitchDoctor","Sven","Meepo","win"
"Riki","Tiny","BountyHunter","SandKing","Sven","win"
"Anti-Mage","Nature'sProphet","Slark","Lion","WraithKing","lose"
"CentaurWarrunner","Medusa","NagaSiren","PhantomAssassin","NyxAssassin","win"
"Earthshaker","LegionCommander","FacelessVoid","DrowRanger","WitchDoctor","lose"
"Ursa","Timbersaw","Riki","Lich","PhantomLancer","lose"
"Axe","Omniknight","Terrorblade","SpiritBreaker","StormSpirit","win"
"Weaver","Lina","Bristleback","Zeus","Clinkz","lose"
"Pudge","Timbersaw","PhantomAssassin","LegionCommander","ShadowShaman","win"
"Meepo","Riki","Pudge","FacelessVoid","Spectre","win"
"Tinker","Slark","LegionCommander","DrowRanger","SkywrathMage","lose"
"Medusa","Lich","Razor","Mirana","Enigma","lose"
"ShadowShaman","Zeus","FacelessVoid","Bloodseeker","Huskar","win"
"Windranger","QueenofPain","Tiny","CrystalMaiden","Tusk","lose"
"LegionCommander","TemplarAssassin","Weaver","Clockwerk","Batrider","win"
"DrowRanger","Leshrac","Tidehunter","Oracle","Slark","lose"
"Zeus","Razor","TreantProtector","Tiny","ArcWarden","win"
