@RELATION auscomp

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE class {"win","lose"}

@DATA
"Clinkz","Beastmaster","TemplarAssassin","NightStalker","Clockwerk","win"
"Slardar","Timbersaw","Juggernaut","CrystalMaiden","Invoker","lose"
"Luna","OgreMagi","FacelessVoid","Mirana","CrystalMaiden","lose"
"TreantProtector","Phoenix","Alchemist","ShadowShaman","Anti-Mage","win"
"Invoker","Enigma","Mirana","Bloodseeker","FacelessVoid","win"
"Anti-Mage","Jakiro","WraithKing","ShadowDemon","Alchemist","lose"
"Riki","Silencer","Juggernaut","Zeus","Axe","win"
"StormSpirit","Clinkz","Earthshaker","Spectre","Meepo","lose"
"Riki","Nature'sProphet","SpiritBreaker","DeathProphet","Puck","win"
"PhantomAssassin","Zeus","Omniknight","Mirana","SkywrathMage","lose"
"CrystalMaiden","Mirana","Slark","ElderTitan","ArcWarden","win"
"Pudge","Slardar","Magnus","WitchDoctor","LegionCommander","lose"
"Enigma","Invoker","Razor","Lifestealer","Alchemist","lose"
"WraithKing","Weaver","Dazzle","QueenofPain","Tinker","win"
"PhantomAssassin","Tiny","Timbersaw","Undying","EmberSpirit","win"
"Axe","Mirana","Rubick","Anti-Mage","Lifestealer","lose"
"Magnus","Mirana","Clinkz","Dazzle","Huskar","win"
"Alchemist","DeathProphet","SpiritBreaker","Ursa","Phoenix","lose"
"Ursa","Timbersaw","StormSpirit","PhantomAssassin","CrystalMaiden","win"
"Bloodseeker","Lycan","Weaver","Windranger","LegionCommander","lose"
"NyxAssassin","Ursa","Bloodseeker","Clinkz","Pudge","win"
"Doom","Undying","StormSpirit","Windranger","CrystalMaiden","lose"
"LegionCommander","DrowRanger","ShadowFiend","Riki","Slark","lose"
"ShadowShaman","Viper","Mirana","PhantomLancer","PhantomAssassin","win"
"Weaver","VengefulSpirit","Sniper","WraithKing","Earthshaker","win"
"Windranger","CrystalMaiden","Sven","Bristleback","Lina","lose"
"Lion","LegionCommander","Mirana","Rubick","Meepo","win"
"Slark","Juggernaut","Bristleback","Earthshaker","Oracle","lose"
"Riki","Timbersaw","Rubick","Slark","Invoker","lose"
"BountyHunter","Windranger","Tidehunter","Lion","Lifestealer","win"
"Juggernaut","Slark","Gyrocopter","ShadowShaman","QueenofPain","win"
"DrowRanger","SkywrathMage","FacelessVoid","Bloodseeker","PhantomAssassin","lose"
"Omniknight","BountyHunter","Ursa","Zeus","Sniper","lose"
"PhantomAssassin","Bloodseeker","Pudge","Chen","Lina","win"
"FacelessVoid","DragonKnight","Oracle","Huskar","SandKing","win"
"Pudge","Riki","ArcWarden","Sniper","Invoker","lose"
"TemplarAssassin","Tinker","Silencer","Pudge","Lina","lose"
"CrystalMaiden","Anti-Mage","Invoker","DrowRanger","Slark","win"
"Pudge","Weaver","BountyHunter","DrowRanger","Huskar","lose"
"Invoker","WraithKing","Bane","Mirana","Riki","win"
"Bloodseeker","Tinker","StormSpirit","Slark","LegionCommander","win"
"Mirana","Enigma","PhantomAssassin","Invoker","Weaver","lose"
"Bristleback","Oracle","Enigma","Puck","Sven","lose"
"Pudge","Bloodseeker","Mirana","Slark","Anti-Mage","win"
"PhantomLancer","Disruptor","NightStalker","Axe","Pudge","win"
"CrystalMaiden","ShadowFiend","ShadowShaman","Windranger","StormSpirit","lose"
"Juggernaut","PhantomAssassin","KeeperoftheLight","Luna","Bloodseeker","lose"
"Lina","Jakiro","Sven","Rubick","EmberSpirit","win"
"NyxAssassin","Invoker","BountyHunter","Juggernaut","ShadowShaman","win"
"Riki","Windranger","Leshrac","Nature'sProphet","PhantomAssassin","lose"
"Morphling","Lion","StormSpirit","SpiritBreaker","Weaver","lose"
"Juggernaut","Pudge","PhantomAssassin","Lich","Slark","win"
"Viper","OgreMagi","Invoker","Juggernaut","QueenofPain","lose"
"SandKing","Clinkz","CrystalMaiden","Morphling","Tinker","win"
"Tiny","Necrophos","Windranger","Pudge","Kunkka","lose"
"Bloodseeker","Riki","Clinkz","SkywrathMage","WitchDoctor","win"
"FacelessVoid","Sniper","Omniknight","Jakiro","NightStalker","win"
"Clinkz","CrystalMaiden","LegionCommander","Phoenix","Slardar","lose"
"LegionCommander","DrowRanger","Necrophos","Anti-Mage","ShadowDemon","lose"
"Omniknight","Morphling","Bloodseeker","Slark","PhantomAssassin","win"
"TemplarAssassin","ShadowFiend","Timbersaw","Juggernaut","DragonKnight","lose"
"Clinkz","Enigma","Slark","AncientApparition","Sniper","win"
"Oracle","Invoker","DragonKnight","TreantProtector","Juggernaut","lose"
"Zeus","Ursa","CrystalMaiden","CentaurWarrunner","EarthSpirit","win"
"Razor","VengefulSpirit","Undying","Rubick","DrowRanger","win"
"DeathProphet","PhantomAssassin","Pudge","Pugna","Juggernaut","lose"
"QueenofPain","DrowRanger","VengefulSpirit","Gyrocopter","ShadowDemon","lose"
"Pudge","Alchemist","Windranger","Riki","DragonKnight","win"
"WraithKing","Techies","Sniper","LegionCommander","ShadowShaman","lose"
"Meepo","ChaosKnight","Omniknight","Ursa","Chen","win"
"Zeus","Windranger","Slark","BountyHunter","Omniknight","win"
"LegionCommander","DrowRanger","Mirana","Rubick","Invoker","lose"
"Timbersaw","Riki","LegionCommander","Zeus","ShadowShaman","lose"
"Axe","Rubick","FacelessVoid","NightStalker","Kunkka","win"
"Pudge","Necrophos","BountyHunter","TreantProtector","PhantomAssassin","lose"
"EmberSpirit","Clinkz","Sven","KeeperoftheLight","Juggernaut","win"
"Pudge","DrowRanger","Ursa","PhantomAssassin","Sniper","win"
"Spectre","Viper","Jakiro","OutworldDevourer","Alchemist","lose"
"LegionCommander","Slark","Sven","Invoker","Anti-Mage","lose"
"VengefulSpirit","DrowRanger","Luna","TreantProtector","WraithKing","win"
"Zeus","PhantomAssassin","Lifestealer","Lina","Kunkka","lose"
"Riki","Lich","Batrider","Slark","Sniper","win"
"Slardar","Earthshaker","LegionCommander","Razor","NyxAssassin","win"
"Windranger","Ursa","PhantomLancer","Invoker","Doom","lose"
"Slark","Windranger","Earthshaker","WraithKing","Nature'sProphet","win"
"Lifestealer","TreantProtector","Pudge","Phoenix","SpiritBreaker","lose"
"Luna","CrystalMaiden","Lion","Pudge","LegionCommander","win"
"DrowRanger","NightStalker","Riki","DarkSeer","Enigma","lose"
"Phoenix","Nature'sProphet","Timbersaw","LegionCommander","Tinker","lose"
"BountyHunter","Morphling","OgreMagi","EmberSpirit","Sven","win"
"LegionCommander","Anti-Mage","Silencer","Tidehunter","Zeus","win"
"Timbersaw","WraithKing","Invoker","CrystalMaiden","Slark","lose"
"Necrophos","CentaurWarrunner","Kunkka","BountyHunter","LegionCommander","win"
"Pudge","AncientApparition","Slark","Mirana","Windranger","lose"
"PhantomAssassin","Viper","Omniknight","Pudge","StormSpirit","win"
"Huskar","Bloodseeker","Riki","Abaddon","Windranger","lose"
"Invoker","Timbersaw","Earthshaker","WraithKing","Alchemist","lose"
"WinterWyvern","Zeus","Ursa","EmberSpirit","Axe","win"
"Alchemist","OgreMagi","Windranger","Axe","Weaver","lose"
"Invoker","Juggernaut","LegionCommander","Lich","DrowRanger","win"
"Pudge","ChaosKnight","ShadowDemon","Tinker","Timbersaw","lose"
"OutworldDevourer","OgreMagi","Leshrac","Luna","ShadowFiend","win"
