@RELATION seacomp

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE class {"win","lose"}

@DATA
"EmberSpirit","NightStalker","Slardar","Lina","Slark","lose"
"Zeus","ShadowDemon","Earthshaker","Spectre","OgreMagi","win"
"Axe","Riki","Medusa","ShadowFiend","WitchDoctor","win"
"Pudge","Ursa","Tiny","PhantomAssassin","BountyHunter","lose"
"Terrorblade","Windranger","OutworldDevourer","VengefulSpirit","Phoenix","win"
"OgreMagi","Sven","Morphling","Timbersaw","Lifestealer","lose"
"Mirana","Puck","Timbersaw","Lion","Spectre","lose"
"Brewmaster","Bloodseeker","PhantomLancer","Invoker","WitchDoctor","win"
"Tinker","PhantomAssassin","DrowRanger","Warlock","BountyHunter","win"
"Slardar","Riki","Necrophos","Bloodseeker","ChaosKnight","lose"
"ShadowDemon","Mirana","Weaver","Pudge","Slark","lose"
"Bloodseeker","OgreMagi","Disruptor","Sven","Timbersaw","win"
"Sniper","Pudge","Anti-Mage","Slark","Jakiro","win"
"Clockwerk","Enchantress","PhantomAssassin","Bloodseeker","Batrider","lose"
"Riki","Juggernaut","Bristleback","Timbersaw","Invoker","win"
"Anti-Mage","Techies","Meepo","CrystalMaiden","LegionCommander","lose"
"Bloodseeker","Invoker","OgreMagi","Axe","Medusa","lose"
"Earthshaker","Bristleback","LegionCommander","Pudge","Sniper","win"
"Juggernaut","Sniper","Mirana","Phoenix","FacelessVoid","win"
"Anti-Mage","Windranger","Clockwerk","OgreMagi","Weaver","lose"
"Viper","Kunkka","Axe","Bristleback","Slark","win"
"Bloodseeker","SandKing","Timbersaw","Riki","Anti-Mage","lose"
"Riki","ShadowFiend","Mirana","EmberSpirit","Dazzle","win"
"CentaurWarrunner","Meepo","OgreMagi","Huskar","Earthshaker","lose"
"Timbersaw","LegionCommander","Huskar","Slark","Tiny","win"
"DrowRanger","Riki","Sniper","SpiritBreaker","PhantomAssassin","lose"
"WraithKing","Omniknight","NyxAssassin","PhantomAssassin","Slark","win"
"Sniper","DrowRanger","Riki","Pudge","Anti-Mage","lose"
"Omniknight","Mirana","Tidehunter","Riki","Kunkka","win"
"Pudge","Slardar","Rubick","WraithKing","DrowRanger","lose"
"LegionCommander","TrollWarlord","Anti-Mage","PhantomAssassin","Tinker","lose"
"Ursa","Sniper","WraithKing","Bloodseeker","Zeus","win"
"Mirana","PhantomLancer","Earthshaker","Ursa","LegionCommander","win"
"Riki","Magnus","Kunkka","StormSpirit","Juggernaut","lose"
"Pudge","Omniknight","Puck","Alchemist","Tusk","win"
"Riki","StormSpirit","Windranger","Jakiro","Necrophos","lose"
"Earthshaker","Ursa","ShadowFiend","Sniper","DarkSeer","win"
"PhantomAssassin","Tinker","ElderTitan","CrystalMaiden","ChaosKnight","lose"
"Bloodseeker","Alchemist","Slark","Axe","LegionCommander","lose"
"Huskar","Juggernaut","Sniper","PhantomAssassin","Anti-Mage","win"
"Phoenix","Slark","Necrophos","EmberSpirit","Lion","win"
"Kunkka","DragonKnight","Doom","SandKing","Pudge","lose"
"Tusk","NyxAssassin","Pudge","Lina","Lifestealer","lose"
"NightStalker","Mirana","CentaurWarrunner","Juggernaut","Invoker","win"
"PhantomAssassin","Earthshaker","ShadowFiend","Kunkka","Invoker","lose"
"ShadowShaman","NyxAssassin","Slardar","Phoenix","Viper","win"
"Kunkka","NyxAssassin","Slark","EmberSpirit","Medusa","win"
"Mirana","Invoker","AncientApparition","Tinker","SpiritBreaker","lose"
"PhantomAssassin","DrowRanger","LegionCommander","KeeperoftheLight","Slardar","win"
"CrystalMaiden","Sven","StormSpirit","Necrophos","NyxAssassin","lose"
"Medusa","EmberSpirit","BountyHunter","Batrider","Mirana","lose"
"Sven","PhantomLancer","Axe","Invoker","Juggernaut","win"
"FacelessVoid","LegionCommander","Meepo","Slark","StormSpirit","lose"
"PhantomAssassin","Sven","Necrophos","Timbersaw","Tinker","win"
"Huskar","Batrider","Mirana","Pudge","Lifestealer","win"
"Jakiro","WitchDoctor","Juggernaut","LegionCommander","Invoker","lose"
"Mirana","ElderTitan","Invoker","Timbersaw","FacelessVoid","lose"
"DrowRanger","EarthSpirit","Earthshaker","StormSpirit","Lion","win"
"CrystalMaiden","Tinker","Clockwerk","Anti-Mage","Bloodseeker","win"
"KeeperoftheLight","FacelessVoid","Pudge","Lina","Bristleback","lose"
"DragonKnight","Timbersaw","CrystalMaiden","Sniper","ChaosKnight","lose"
"Anti-Mage","Juggernaut","VengefulSpirit","Pudge","LegionCommander","win"
"LegionCommander","Invoker","Riki","PhantomAssassin","Windranger","win"
"StormSpirit","Sven","DrowRanger","Juggernaut","Pudge","lose"
"Necrophos","Earthshaker","Windranger","DrowRanger","Sven","lose"
"ShadowShaman","Slark","Omniknight","Lifestealer","ShadowFiend","win"
"Pudge","Lion","Meepo","Tinker","WraithKing","lose"
"StormSpirit","Mirana","Timbersaw","Gyrocopter","Earthshaker","win"
"Luna","Huskar","Ursa","Sven","SpiritBreaker","win"
"Sniper","Warlock","DrowRanger","Dazzle","Invoker","lose"
"Invoker","Sven","Morphling","Omniknight","Pudge","win"
"Mirana","Alchemist","Huskar","Windranger","PhantomAssassin","lose"
"Abaddon","OgreMagi","Lifestealer","Ursa","StormSpirit","win"
"Sniper","Pudge","SpiritBreaker","Riki","Earthshaker","lose"
"Juggernaut","Lion","PhantomLancer","Pudge","Puck","lose"
"DrowRanger","Dazzle","Axe","PhantomAssassin","QueenofPain","win"
"Pudge","Slark","Kunkka","Slardar","Abaddon","lose"
"PhantomAssassin","Nature'sProphet","Mirana","DrowRanger","Necrophos","win"
"Anti-Mage","Luna","Lifestealer","PhantomAssassin","BountyHunter","win"
"ShadowFiend","DrowRanger","Sven","Abaddon","Spectre","lose"
"StormSpirit","Slardar","Medusa","Anti-Mage","Mirana","win"
"NyxAssassin","Slark","LegionCommander","Zeus","Morphling","lose"
"ChaosKnight","Tiny","Mirana","Huskar","Viper","lose"
"Juggernaut","SpiritBreaker","Pudge","Sniper","Disruptor","win"
"LegionCommander","Mirana","Viper","Invoker","SkywrathMage","win"
"Bloodseeker","Riki","PhantomAssassin","Tusk","OgreMagi","lose"
"PhantomAssassin","Terrorblade","QueenofPain","WraithKing","Medusa","lose"
"Meepo","Slark","Lion","SpiritBreaker","Lina","win"
"Clockwerk","Silencer","Meepo","Windranger","Enchantress","win"
"Pugna","Mirana","Anti-Mage","Earthshaker","Huskar","lose"
"Timbersaw","OutworldDevourer","Kunkka","DrowRanger","Weaver","lose"
"Omniknight","PhantomLancer","Disruptor","Pudge","PhantomAssassin","win"
"Bristleback","Mirana","Anti-Mage","Spectre","Zeus","win"
"PhantomAssassin","LegionCommander","Enchantress","StormSpirit","Bloodseeker","lose"
"Pudge","LegionCommander","PhantomAssassin","Morphling","DrowRanger","win"
"Sven","Sniper","Axe","WinterWyvern","Timbersaw","lose"
"Invoker","PhantomAssassin","EmberSpirit","Riki","LegionCommander","win"
"Alchemist","Kunkka","ShadowFiend","Juggernaut","Magnus","lose"
"DrowRanger","Riki","FacelessVoid","Nature'sProphet","Huskar","win"
"CrystalMaiden","Invoker","Mirana","Omniknight","PhantomAssassin","lose"
"SpiritBreaker","Huskar","ShadowShaman","Sniper","Puck","lose"
"Ursa","Lion","Invoker","Io","Bloodseeker","win"
