@RELATION auscomp

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE class {"win","lose"}

@DATA
"Invoker","FacelessVoid","Timbersaw","Sniper","Bloodseeker","lose"
"PhantomAssassin","Doom","LegionCommander","Bristleback","Slark","win"
"WitchDoctor","Mirana","Slardar","ShadowDemon","Anti-Mage","win"
"Puck","DragonKnight","Oracle","DrowRanger","VengefulSpirit","lose"
"Medusa","Ursa","Rubick","Juggernaut","Invoker","lose"
"Pudge","Slark","LegionCommander","Lion","PhantomAssassin","win"
"Riki","NagaSiren","Windranger","Mirana","Bane","win"
"Clockwerk","Sniper","Juggernaut","NyxAssassin","Nature'sProphet","lose"
"Tinker","Beastmaster","Ursa","Disruptor","OgreMagi","win"
"QueenofPain","Jakiro","Bloodseeker","Axe","LegionCommander","lose"
"Windranger","Kunkka","PhantomAssassin","ElderTitan","Juggernaut","lose"
"Morphling","Lion","Invoker","LegionCommander","Zeus","win"
"Tidehunter","TreantProtector","PhantomAssassin","OgreMagi","DrowRanger","win"
"DarkSeer","ShadowFiend","LegionCommander","Windranger","Kunkka","lose"
"Bloodseeker","Lifestealer","FacelessVoid","Zeus","Silencer","win"
"Lion","TrollWarlord","Invoker","Medusa","LegionCommander","lose"
"Anti-Mage","Riki","DragonKnight","TrollWarlord","Techies","lose"
"Earthshaker","Ursa","LegionCommander","Enchantress","Sniper","win"
"Morphling","Mirana","Zeus","Pudge","Tidehunter","win"
"Slardar","Razor","SkywrathMage","TemplarAssassin","Clinkz","lose"
"Jakiro","FacelessVoid","WinterWyvern","Axe","PhantomLancer","lose"
"Zeus","Pudge","ElderTitan","NightStalker","CentaurWarrunner","win"
"Axe","Bristleback","Meepo","Sniper","ArcWarden","win"
"Brewmaster","FacelessVoid","Lion","Enchantress","Anti-Mage","lose"
"QueenofPain","SandKing","PhantomLancer","OgreMagi","Mirana","lose"
"Sven","Pudge","Anti-Mage","CrystalMaiden","PhantomAssassin","win"
"Axe","Enigma","Sven","Phoenix","TemplarAssassin","win"
"Omniknight","PhantomAssassin","Morphling","LegionCommander","Tusk","lose"
"SandKing","Invoker","Juggernaut","LegionCommander","Lion","lose"
"Tinker","Rubick","NyxAssassin","Timbersaw","Anti-Mage","win"
"Lich","NightStalker","NyxAssassin","Sniper","AncientApparition","lose"
"Axe","ShadowFiend","Lina","Riki","Bloodseeker","win"
"Pugna","Lina","Silencer","Pudge","Axe","win"
"Bloodseeker","SandKing","CrystalMaiden","Sniper","Ursa","lose"
"Invoker","WitchDoctor","FacelessVoid","Juggernaut","Necrophos","win"
"LegionCommander","NagaSiren","Omniknight","Tiny","PhantomAssassin","lose"
"Anti-Mage","CrystalMaiden","Riki","ShadowShaman","Sniper","win"
"StormSpirit","Invoker","Bane","Axe","Mirana","lose"
"WinterWyvern","PhantomAssassin","Lion","Tidehunter","StormSpirit","lose"
"Tinker","EmberSpirit","Disruptor","TreantProtector","Sven","win"
"Pudge","Sven","Disruptor","Bloodseeker","DrowRanger","lose"
"CrystalMaiden","LegionCommander","Invoker","Anti-Mage","Axe","win"
"Nature'sProphet","Beastmaster","Terrorblade","Chen","Batrider","lose"
"Tidehunter","DrowRanger","LegionCommander","VengefulSpirit","WraithKing","win"
"DarkSeer","Kunkka","Invoker","Bloodseeker","Axe","lose"
"Leshrac","ChaosKnight","DrowRanger","Mirana","Nature'sProphet","win"
"Bloodseeker","FacelessVoid","Huskar","Undying","Juggernaut","win"
"Windranger","SandKing","AncientApparition","Rubick","Anti-Mage","lose"
"Juggernaut","TreantProtector","Rubick","Bristleback","Luna","lose"
"Morphling","Weaver","Mirana","Lion","Axe","win"
"Kunkka","Slardar","Venomancer","Mirana","Anti-Mage","win"
"Morphling","Juggernaut","Pudge","BountyHunter","Alchemist","lose"
"Lich","Sniper","Slark","PhantomAssassin","Huskar","win"
"Juggernaut","Mirana","DrowRanger","QueenofPain","Pudge","lose"
"SkywrathMage","Invoker","Axe","Weaver","FacelessVoid","lose"
"Lion","Clinkz","Gyrocopter","Kunkka","Timbersaw","win"
"Alchemist","DrowRanger","Axe","FacelessVoid","AncientApparition","lose"
"Sven","EmberSpirit","Invoker","OgreMagi","Slark","win"
"Batrider","Terrorblade","PhantomAssassin","Axe","Jakiro","lose"
"Dazzle","FacelessVoid","Timbersaw","Invoker","Sniper","win"
"Juggernaut","Earthshaker","PhantomAssassin","Bristleback","Phoenix","win"
"DrowRanger","StormSpirit","Morphling","Slark","Nature'sProphet","lose"
"Mirana","Kunkka","Sniper","Zeus","Io","lose"
"Medusa","Pudge","TemplarAssassin","LegionCommander","VengefulSpirit","win"
"LegionCommander","StormSpirit","Kunkka","Slark","Techies","lose"
"Invoker","SkywrathMage","WraithKing","Ursa","Axe","win"
"Zeus","FacelessVoid","Sniper","TrollWarlord","Clinkz","lose"
"DrowRanger","Slark","Slardar","KeeperoftheLight","Enigma","win"
"Mirana","Venomancer","Rubick","OutworldDevourer","Bloodseeker","lose"
"Clinkz","Invoker","Dazzle","Slardar","Lich","win"
"FacelessVoid","PhantomAssassin","WraithKing","Morphling","Terrorblade","lose"
"Tidehunter","Sniper","TrollWarlord","Visage","Enigma","win"
"LegionCommander","Invoker","Weaver","Pudge","Zeus","lose"
"TemplarAssassin","Jakiro","FacelessVoid","Bloodseeker","PhantomAssassin","win"
"WraithKing","VengefulSpirit","Huskar","Pudge","Lina","lose"
"Dazzle","CentaurWarrunner","Lifestealer","PhantomAssassin","Axe","win"
