@RELATION auscomp

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden","undefined"}
@ATTRIBUTE class {"win","lose"}

@DATA
"Pudge","OgreMagi","Tinker","Sven","WraithKing","win"
"KeeperoftheLight","Weaver","Windranger","Timbersaw","Mirana","lose"
"WraithKing","LegionCommander","CrystalMaiden","Huskar","FacelessVoid","lose"
"Axe","Juggernaut","Invoker","AncientApparition","TreantProtector","win"
"Lion","Tinker","Sniper","Bloodseeker","EmberSpirit","lose"
"CentaurWarrunner","Pudge","Slark","Silencer","Riki","win"
"Windranger","PhantomAssassin","Bloodseeker","VengefulSpirit","Clinkz","lose"
"Nature'sProphet","OgreMagi","DrowRanger","Puck","Bristleback","win"
"NagaSiren","Enigma","PhantomAssassin","SandKing","Tidehunter","lose"
"Mirana","Visage","Viper","Sven","Sniper","win"
"Meepo","Mirana","SpiritBreaker","KeeperoftheLight","EmberSpirit","lose"
"Earthshaker","DrowRanger","SandKing","StormSpirit","Zeus","win"
"QueenofPain","DarkSeer","Juggernaut","CrystalMaiden","Terrorblade","win"
"StormSpirit","FacelessVoid","ShadowDemon","Necrophos","ElderTitan","lose"
"Pudge","Juggernaut","LegionCommander","Lich","PhantomLancer","win"
"Riki","TreantProtector","Bloodseeker","Lina","WraithKing","lose"
"SpiritBreaker","WitchDoctor","Mirana","Timbersaw","Necrophos","win"
"Lina","KeeperoftheLight","Alchemist","Windranger","Juggernaut","lose"
"ElderTitan","Disruptor","Alchemist","Weaver","LegionCommander","lose"
"DrowRanger","Axe","AncientApparition","Juggernaut","Riki","win"
"CrystalMaiden","Mirana","Juggernaut","BountyHunter","Slardar","win"
"Sniper","Weaver","Windranger","FacelessVoid","Riki","lose"
"Lifestealer","Pudge","Riki","Terrorblade","Sniper","win"
"Nature'sProphet","ShadowFiend","BountyHunter","Slark","Earthshaker","lose"
"PhantomAssassin","CrystalMaiden","Invoker","Techies","Anti-Mage","lose"
"Earthshaker","LegionCommander","Tinker","OgreMagi","Juggernaut","win"
"Bane","Windranger","StormSpirit","Beastmaster","WraithKing","win"
"Luna","Medusa","VengefulSpirit","Slark","Enigma","lose"
"FacelessVoid","Io","Sven","DragonKnight","Jakiro","lose"
"StormSpirit","ElderTitan","Riki","Warlock","LegionCommander","win"
"Clockwerk","BountyHunter","FacelessVoid","Sniper","LegionCommander","win"
"Bloodseeker","SandKing","Razor","ChaosKnight","Tidehunter","lose"
"Morphling","Windranger","Leshrac","Slark","Tinker","lose"
"KeeperoftheLight","Razor","NyxAssassin","Timbersaw","Anti-Mage","win"
"PhantomAssassin","Enchantress","Doom","BountyHunter","Viper","win"
"Huskar","Alchemist","NyxAssassin","AncientApparition","Bloodseeker","lose"
"NyxAssassin","Windranger","Axe","PhantomAssassin","DrowRanger","lose"
"Kunkka","Riki","Lifestealer","SandKing","Pudge","win"
"Slark","Earthshaker","Pudge","Mirana","Sniper","win"
"Viper","Alchemist","NyxAssassin","Batrider","ShadowFiend","lose"
"ChaosKnight","Invoker","SpiritBreaker","Leshrac","Oracle","win"
"Zeus","Anti-Mage","Tiny","Nature'sProphet","Omniknight","lose"
"Rubick","Sven","Tiny","Riki","StormSpirit","win"
"Pugna","PhantomAssassin","Lina","Lifestealer","Clockwerk","lose"
"Juggernaut","Lich","Invoker","Lion","EmberSpirit","win"
"Sven","WitchDoctor","Puck","Omniknight","Anti-Mage","lose"
"StormSpirit","BountyHunter","LegionCommander","VengefulSpirit","DrowRanger","lose"
"Lich","Tinker","CentaurWarrunner","Slark","ShadowShaman","win"
"Lycan","Beastmaster","LoneDruid","Clinkz","Viper","win"
"AncientApparition","Spectre","TrollWarlord","Windranger","Io","lose"
"WraithKing","Riki","Earthshaker","LegionCommander","Silencer","win"
"PhantomAssassin","ShadowShaman","ShadowFiend","CrystalMaiden","Sven","lose"
"FacelessVoid","Timbersaw","Warlock","Pudge","Mirana","lose"
"PhantomAssassin","Lifestealer","Bloodseeker","Morphling","Omniknight","win"
"Lifestealer","Mirana","Kunkka","ArcWarden","Timbersaw","win"
"Omniknight","Anti-Mage","NyxAssassin","StormSpirit","Doom","lose"
