Heroes,Kills,Deaths,Assists,Last hits,GPM,Xpm,Hero Damage,Tower damage,Gold,Gold Spent
1,7.02,5.97,7.62,271.4,532.76,558.32,9525.37,2428.26,2207.45,19428
2,9.95,8.82,12.3,149.95,445.27,499.54,14624.58,607.54,2011.13,14847.32
3,5.24,8.32,13.45,39.62,302.75,360.56,8337.53,438.4,1299.72,10620.57
4,10.93,8.69,10.89,163.67,466.38,517.14,14169.34,1487.6,1850.24,16669.77
5,5.26,9.31,15.52,53.26,330.75,379.73,9734.72,316.96,1492.55,10894.35
6,6.98,7.67,11.21,177.91,473.62,495.58,10280.19,3232.39,2016.79,16103.56
7,5.41,9.01,15.46,79.41,351.26,403.5,10480.52,456.74,1539.53,12043.94
8,9.01,7.12,9.63,222.68,515.91,546.57,13514.41,2358.36,2146.24,18259.29
9,7.79,6.91,15.07,157.92,443.77,480.23,12764.08,1149.44,1926.61,16013.75
10,9.38,5.74,9.65,193.17,496.15,532.06,13502.41,2695,2362.26,17443.25
11,9.53,8.12,10.5,224.76,514.42,551.03,15198.47,2222.56,2009.49,18573.92
12,7.02,7.64,10.97,175.89,440.74,484.96,10846.38,1458.51,1836.23,15926.91
13,9.04,8.49,13.85,130.76,426.53,494.98,14808.6,702.57,1732.52,15172.62
14,9.68,9.23,14.31,63,376.1,445.55,13554.23,373.43,1745.4,12779.83
15,7.52,8.98,12.85,138,411.89,452.81,13477.23,1366.05,1600.18,14297.23
16,5.99,8.36,15.67,121.75,388.31,445.11,11403.79,352.39,1745.39,13447.12
17,9.91,7.67,12.92,167.78,473.83,543.18,14411.93,1035.18,1926.58,16971.85
18,8.63,7.79,10.52,221.15,510.92,541.98,13645.55,2196.47,2216.23,17957.94
19,8.04,8.67,11.6,147.7,437.22,468.22,13466.12,1748.12,1589.78,15343.47
20,4.28,8.92,14.86,61.73,328.82,373.61,7197.51,752.97,1455.66,10878.6
21,7.48,7.4,12.01,127.6,409.58,454.67,11653.39,1778.69,1642.75,14681.25
22,9.95,7.96,17.76,94.65,395.03,463.84,21587.26,379.33,1738.24,14151.89
23,6.88,7.55,14.55,168.66,432.41,471.81,12693.18,827.28,1852.33,15794.75
25,8.21,8.93,10.31,117.21,393.58,435.43,12299.18,893.37,1663.64,13682.58
26,5.07,9.28,13.56,42.62,304.88,363.5,7356.45,289.56,1392.02,10287.37
27,4.63,10.36,14.14,86.81,366.17,354.06,8514.08,2095.69,1517.58,11880.48
28,5.58,8.64,14.81,97.01,371.55,441.83,8125.24,642.01,1585.01,12821.42
29,4.01,7.03,16.73,102.66,364.01,430.68,8692.09,441.15,1565.16,12745.14
30,6.01,9.14,14.26,49.31,321.33,358.61,9418.55,437.86,1429.49,10824.13
31,6.73,7.68,16.89,52.93,338.77,416.07,12188.43,443.66,1690.46,11309.16
32,10.7,7.13,13.89,71.21,398.74,486.61,14772.74,640.09,1735.6,14699.91
33,4.99,7.6,15.88,145.83,390.91,427.13,9905.14,967.69,1547.48,13955.59
34,11.2,7.1,11.57,180.15,471.51,515.73,21548.11,189.11,1983.86,16933.19
