Heroes,Kills,Deaths,Assists,Last hits,GPM,Xpm,Hero Damage,Tower damage,Gold,Gold Spent
1,5.02,7.35,5.87,232.02,437.97,489.28,7231.23,800.76,1094.14,15683.55
2,8.45,11.05,9.85,147.95,384.19,449.82,13826.45,195.83,1263.06,13062.81
3,5,9.32,11.29,38.46,266.08,335.78,8003.59,178.41,781.41,9568.71
4,9.43,10.61,9.68,154.47,406.87,474.53,13166.22,514.48,1193.01,14717.95
5,4.58,11.65,12.92,53.9,281.33,339.81,9352.41,110.57,894.73,9699.26
6,5.51,9.91,9.47,170.1,389.47,445.38,9007.25,1217.37,1062.1,14157.96
7,4.61,10.87,12.79,77.39,305.87,364.01,9932.32,139.9,945.24,10501.7
8,6.95,8.93,7.71,204.15,431.01,485.71,11575.19,736.4,1097.68,15530.62
9,6.36,8.57,12.36,149.37,380.04,434.03,11722.76,428.29,1149.86,13944.12
10,6.89,7.18,7.92,174.7,410.83,471.74,11181.05,902.66,1386.41,14523.38
11,7.34,10.14,8.79,209.12,435.8,491.13,13289.1,855.79,1135.46,15785.33
12,5.55,9.07,9.06,163.28,379.94,439.54,9412.53,509.07,1088.46,13699.38
13,7.87,10.1,11.64,126.57,377.31,455.69,13921.44,305.42,1096.09,13468.41
14,7.99,11.3,12.29,61.63,320.91,399.39,12035.33,107.22,1071.62,11224.41
15,6.27,10.7,10.81,134.35,357.05,414.07,12703.05,491.85,949.67,12838.15
16,5.24,10.07,12.74,121.47,341.7,408.5,10975.33,114.62,1121.59,12075.92
17,7.55,9.28,10.02,149.86,400.18,482.29,12086.83,290.56,1225.67,14008.22
18,6.56,10.18,9.22,202.03,421.52,469.95,11915.3,705.8,1142.86,15256.75
19,6.96,10.07,10.03,139.4,380.66,435.47,12657.93,687.21,1007.24,13609.75
20,3.71,10.78,12.38,59.23,281.16,341.55,6742.77,287.23,886.26,9798.98
21,6.12,8.9,10.3,120.27,351.73,413.45,10799.92,723.55,1017.66,12811.96
22,8.21,10.17,14.14,90.54,338.54,412.18,20061.88,124.83,1083.46,12222.58
23,5.73,9.09,12.32,163.42,380.16,434.25,11843.73,307.7,1194.7,14097.87
25,7.12,10.55,8.72,112.11,347.5,397.79,11586.94,358.06,1079.36,12217.92
26,4.42,10.92,11.13,41.91,265.92,331.36,6925.49,119.82,852.6,9077.63
27,4.21,12.82,12.05,83.97,310.9,325.62,8614.09,972.54,946.25,10602.75
28,4.35,10.45,11.97,91.43,314.89,387.15,6924.78,213,886.55,11047.17
29,3.2,8.63,12.68,99.04,313.63,385.61,7980.85,132.31,932.9,10960.04
30,5.47,10.95,11.59,49.18,280.56,325.08,9086.32,161.92,844.65,9795.33
31,5.93,9.6,13.43,53.42,291.65,375.13,11656.25,163.13,1072.59,10123.07
32,8.41,8.77,11.15,64.84,337.86,433.9,12771.45,162.4,1038.22,12630.38
33,4.27,9.14,12.97,138.82,343.58,386.27,9658.54,493.18,1005.46,12337.57
34,8.68,8.7,9.31,173.22,405.15,461.9,19476.37,88.15,1367.25,14722.96
35,7.52,9.64,11.25,166.23,396.85,430.62,14186.87,651.45,1290.43,14926.92
36,8.06,10.44,11.21,101.42,348.48,403.48,10801.7,251.69,1099.18,12262.5
37,5.27,9.51,13.47,90.35,323.76,344.37,12529.72,580.29,1074.8,11749.79
38,3.64,9.68,10.94,120.14,337.72,395.67,7421.32,511.01,958.06,11163.81
39,7.57,9.41,9.45,127.39,374.46,439.85,13147.48,378.16,973.1,13379.45
40,5.28,11.17,14.21,109.19,336.56,352.51,14156.7,341.05,1049.28,11818.26
41,5.32,8.34,10.97,165.14,380.95,448.55,7949.42,446.07,1003.99,13862.61
42,5.5,7.96,11.54,166.78,389.46,463.04,9388.29,499.66,1141.53,14243.54
43,6.47,10.56,9.14,116.56,351.62,417.92,11737.23,865.72,1133.96,11838.95
44,7.35,9.63,8.99,159.69,398.01,463.54,12120.95,452.39,1019.14,14301.9
45,5.14,11.05,11.64,93.41,316.39,362.85,11547.46,896.36,938.23,10769.27
46,6.77,9,8.69,164.11,404.72,479.51,11339.33,799.38,1130.57,14257.52
47,7.92,9.87,10.88,109.91,357.36,425.77,12757.86,622.26,1141.99,12916.07
48,6.61,9.71,9.69,202.46,428.67,478.4,11998.27,1047.09,1307.21,15320.88
49,5.28,9.27,9.5,143.43,371.02,437.64,9970.06,814.9,1091.34,13119.13
50,2.51,10.53,14.04,47.28,254.52,306.08,5065.66,173.33,783.17,8828.65
51,6.54,10.69,12.62,87.03,331.85,383.08,14060.19,131,1163.91,11350.32
52,5.3,11.17,11.22,121.2,337.89,393.57,11299.58,520.39,811.75,11841.71
53,4.43,9.41,9.43,215.99,450.83,417.09,8986.16,1719.98,1277.65,16279.84
54,5.78,8.23,9.36,161.87,392.68,470.99,10461.71,475.03,1022,14214.16
55,4.11,9.3,14.49,147.05,347.5,381.26,9687.41,140.9,1152.96,12634.69
56,7.88,9.18,7.44,115.57,364.63,440.78,11740.41,1025.35,930.54,13173.15
57,2.92,8.91,11.25,58.67,275.2,335.1,5657.97,138.46,866.59,9588.04
58,5.74,8.17,8.22,101.31,327.59,398.42,9723.25,346.74,967.42,12188.97
59,9.43,13.37,7.57,101.28,362.07,408.95,14400.2,539.93,1045.49,12136.82
60,6.67,9.2,11.23,99.23,338.67,412.47,10059.57,456.89,899.02,12334.65
61,4.82,9.01,6.13,132.96,352.94,409.27,7376.84,797.67,1205.76,11519.73
62,6.47,9.76,12.84,51.42,348.71,376.53,8516.1,143.45,1057.97,12850.04
63,7.14,8.4,10.88,138.48,377.84,463.39,12752.84,783.88,1143.27,13853.75
64,3.88,11.34,13.75,70.18,295.44,336.63,9588.93,525.96,1086.17,9783.98
65,4.98,10.16,12.35,89.79,319.5,372.83,9525.21,97.52,1113.07,10429.45
66,3.03,8.8,9.27,70.91,284.7,295.13,5058.7,424.79,916.3,8877.43
67,6.13,8.41,12.94,165.32,386.48,459.05,13547,259.93,1166.53,13954.59
68,4.67,9.11,14.3,48.31,281.87,318.02,9039.3,95.33,943.7,10183.46
69,4.68,9.43,9.42,130.14,389.4,413.07,8353.59,212.18,1177.41,13687.15
70,8.63,10.17,8.33,118.61,373.39,443.24,12865.21,450.06,1065.92,13525.96
71,7.9,11.42,16.61,68.99,329.69,405.88,11412.3,212.39,1023.84,11574.52
72,6.03,10.85,10.92,153.24,374.81,416.66,12167.87,464.3,1214.84,13110.67
73,4.92,9.48,9.16,231.32,578.57,501.03,11457.21,801.71,1532.64,21292.18
74,6.95,8.75,10.06,142.49,398.22,455.82,12493.24,727.99,1314.79,14071.13
75,5.53,10.17,13.59,79.82,304.72,355.42,11283.43,317.05,896.16,10866.58
76,6.82,9.63,7.92,117.01,353.26,415.46,11741.03,384.34,980.98,12282.86
77,4.79,8.23,9.4,157.41,374.4,422.65,7757.73,1201.07,940.2,13100.82
78,4.07,8.61,10.86,117.62,342.36,418.36,8413.39,284,1084.12,11570.18
79,3.87,10.6,11.55,52.63,270.5,300.07,8149.35,215.62,809.14,8912.65
80,3.34,7.72,7.67,175.81,374.32,394.62,6783.83,951.91,1107.35,13481.31
81,6.66,10.45,9.48,124.25,362.46,418.07,10459.65,687,1129.34,12904.48
82,6.6,10.28,7.5,186.4,408,550.61,9877.21,888.32,1065.59,13111.55
83,2.37,8.97,11.24,88.57,277.93,316.69,4725.19,184.83,958.45,9829.93
