Heroes,Kills,Deaths,Assists,Last hits,GPM,Xpm,Hero Damage,Tower damage,Gold,Gold Spent
1,9.21,4.58,9.62,317.55,627.86,635.41,12080.36,4188.51,3369.68,23618.52
2,11.28,7.2,14.5,153.66,484.73,542.41,15450.62,937.12,2595.51,16426.23
3,5.55,7.24,16.19,39.97,335.98,387.7,8768.4,658.62,1822.53,11698.3
4,12.42,6.96,12.19,173.42,519.86,558.09,15228.37,2391.67,2456.97,18531.5
5,5.81,7.75,17.59,53.3,360.24,410.4,10118.81,464.75,1923.01,11838.38
6,8.23,6.08,12.8,187.01,532.54,539.23,11439.3,4834.77,2761.44,17825.9
7,6.15,7.54,18.05,81.94,383.58,439.42,11089.35,732.34,2056.5,13440.11
8,11.02,5.56,11.55,242.68,586.6,605.49,15469.74,3851.88,3105.59,20902.17
9,9.11,5.54,17.71,167.14,493.83,523.35,13819.62,1771.25,2605.16,17940.69
10,12.01,4.39,11.53,214.59,576.7,596.48,16011.77,4531.81,3349.21,20585.14
11,11.74,6.24,12.37,242.7,585.53,611.84,17207.21,3575.36,2847.56,21374.49
12,8.84,6.1,13.43,193.96,503.64,542.69,12698.64,2593.4,2733.34,18767.82
13,10.44,6.74,16.49,135.81,479.51,540.37,15928.4,1144.69,2400.95,17088.15
14,11.21,7.65,16.21,64.86,412.8,487.52,14996.99,598.52,2302.47,14188.31
15,9.19,6.9,15.79,146.3,472.15,506.61,14778.93,2518.01,2399.92,16412.48
16,6.72,6.95,18.57,122.75,425.79,480.13,11907.35,560.54,2298.9,14733.96
17,12.45,6.18,16.05,188.58,541.82,607.6,16965,1794.6,2638,20173.27
18,10.35,6.01,11.7,239.28,576.62,602.02,15155.44,3383.32,3038.6,20238.23
19,9.55,7.18,13.79,161.23,487.21,515.69,14767.25,3076.43,2286.85,17743.36
20,4.8,7.58,17.15,64.36,363.08,402.55,7672.17,1132.13,1928.35,11885.59
21,9.09,5.92,14.17,137.75,462.97,502.15,12794.47,2934.09,2320.95,16861.66
22,11.31,6.35,20.73,98.3,434.38,504.02,22859.18,570.36,2214.68,15644.12
23,8.18,6.04,17.16,176.56,484.68,514.8,13771.8,1384.38,2549.9,17788.99
25,9.58,7.16,12.34,124.7,446.33,480.5,13275.89,1529.89,2345.39,15509.04
26,5.77,7.77,16.17,43.71,340.52,397.31,7864.59,457.67,1915.44,11573.13
27,5.05,8.56,16.11,90.6,397.49,380.36,8572.45,3036.89,1969.73,13073.16
28,6.77,6.97,17.61,102.94,419.3,495.77,9305.42,1054.88,2248.55,14560.81
29,4.68,5.82,20.18,106.37,400.27,468.91,9310.98,694,2077.13,14251.27
30,6.59,7.56,16.94,49.43,354.86,391.79,9840.78,694.18,1975.69,11843.06
31,7.41,6.29,19.84,52.54,366.96,448.99,12728.16,654.25,2153.51,12291.74
32,12.58,6.02,16.27,76.57,436.47,529.98,16508.54,992.45,2237.35,16397.78
33,5.78,6.26,19.02,155.04,430.62,470.28,10329.33,1442.4,2086.06,15680.05
34,13.67,5.68,13.91,189.23,527.72,569.7,23777.74,282.19,2550.8,19170.09
35,10.43,6.36,15.32,177.58,499.04,506.85,16215.59,2647.7,2738.31,18007.14
36,10.71,6.77,16.88,107.53,446.15,482.59,12097.29,998.03,2427.66,14869.75
37,6.31,6.17,17.75,88.81,405.02,397.48,12377.25,1903.14,2094.21,13407.44
38,4.98,5.92,15.23,132.9,461.99,463.87,7940.42,2382.93,2081.57,14010.63
39,10.87,6.24,13.9,147.11,483.79,531.65,15583.33,1722.61,2327.3,17879.28
40,6.27,7.9,20.56,111.28,421.6,422.89,14289.87,1295.8,2245.97,14230.63
41,8.7,5.17,14.49,201.41,525.98,567.62,11305.1,2568.3,2574.11,19093.8
42,8.96,4.71,17.21,190.05,526.33,587.65,12885.75,2828.71,2922.27,18741.28
43,9.73,7.31,14.16,136.79,487.11,520.12,14392.88,3081.46,2754.66,15877.11
44,13.1,6.2,12.87,189.44,553.7,604.21,18206.01,2350.76,2814.45,19579.36
45,6.83,8.29,17.94,98.4,402.27,425.41,13273.68,2576.76,2123.91,13288.35
46,11.11,5.74,12.38,184.17,554.13,601.25,15507.39,3369.11,2993.77,18818.26
47,10.63,6.15,14.41,132.28,468.18,506.23,14712.04,2635.24,2558.8,16493.33
48,9.62,5.9,12.96,231.33,589.38,596.43,14670.96,4583.42,3421.51,19528.1
49,8.2,5.38,14.06,170.78,499.78,542.23,12505.2,3380.33,2681.24,17612.81
50,3.13,6.89,20.9,47.95,339.98,380.68,5358.19,690.78,2018.24,10704.78
51,8.59,7.17,18.69,91.98,407.68,452.29,15091.61,714.34,2178.92,14355.47
52,7.36,7.86,16.02,146.82,456.06,474.59,12517.17,2156.76,2455.92,15539.21
53,6.24,6.4,13.48,232.2,585.17,489.51,10211.72,4130.71,2494.76,19890.52
54,9.14,4.86,13.29,188.85,518.33,580.18,13389.05,2760.01,2614.32,18856.13
55,5.42,6.17,20.66,142.49,432.61,465.94,10262.84,624.02,2447.89,14708.23
56,11.73,5.74,10.53,141.44,512.68,554.64,15104.93,4430.3,2580.88,17525.89
57,3.95,5.69,18.31,60.81,355.46,419.27,6390.34,650.01,1996.04,12042.81
